Country,date,total cases,total death,death rate
India,08-07-2020,742417,20642,0.027803781
India,09-07-2020,767296,21129,0.027536961
India,10-07-2020,793802,21604,0.027215855
India,11-07-2020,820916,22123,0.026949164
India,12-07-2020,849553,22674,0.02668933
India,13-07-2020,878254,23174,0.026386444
India,14-07-2020,906752,23727,0.026167023
India,15-07-2020,936181,24309,0.025966133
India,16-07-2020,968876,24915,0.025715365
India,17-07-2020,1003832,25602,0.025504268
India,18-07-2020,1038716,26273,0.025293728
India,19-07-2020,1077618,26816,0.024884514
India,20-07-2020,1118043,27497,0.024593866
India,21-07-2020,1155191,28084,0.024311131
India,22-07-2020,1192915,28732,0.024085538
India,23-07-2020,1238635,29861,0.02410799
India,24-07-2020,1287945,30601,0.023759555
India,25-07-2020,1336861,31358,0.02345644
India,26-07-2020,1385522,32063,0.023141459
India,27-07-2020,1435453,32771,0.022829727
India,28-07-2020,1483156,33425,0.022536402
India,29-07-2020,1531669,34193,0.022324014
India,30-07-2020,1583792,34968,0.022078657
India,31-07-2020,1638870,35747,0.02181198
India,01-08-2020,1695988,36511,0.021527865
India,02-08-2020,1750723,37364,0.02134204
India,03-08-2020,1803695,38135,0.02114271
India,04-08-2020,1855745,38938,0.020982409
India,05-08-2020,1908254,39795,0.020854142
India,06-08-2020,1964536,40699,0.020716851
India,07-08-2020,2027074,41585,0.020514791
India,08-08-2020,2088611,42518,0.02035707
India,09-08-2020,2153010,43379,0.020148072
India,10-08-2020,2215074,44386,0.020038157
India,11-08-2020,2268675,45257,0.019948648
India,12-08-2020,2329638,46091,0.019784619
India,13-08-2020,2396637,47033,0.019624582
India,14-08-2020,2461190,48040,0.019519013
India,15-08-2020,2526192,49036,0.019411034
India,16-08-2020,2589682,49980,0.019299667
India,17-08-2020,2647663,50921,0.019232433
India,18-08-2020,2702742,51797,0.019164611
India,19-08-2020,2767273,52889,0.019112317
India,20-08-2020,2836925,53866,0.01898746
India,21-08-2020,2905823,54849,0.018875547
India,22-08-2020,2975701,55794,0.018749868
India,23-08-2020,3044940,56706,0.018623027
India,24-08-2020,3106348,57542,0.018524003
India,25-08-2020,3167323,58390,0.018435126
India,26-08-2020,3234474,59449,0.018379805
India,27-08-2020,3310234,60472,0.018268195
India,28-08-2020,3387500,61529,0.018163542
India,29-08-2020,3463972,62550,0.018057305
India,30-08-2020,3542733,63498,0.017923451
India,31-08-2020,3621245,64469,0.017802993
India,01-09-2020,3691166,65228,0.017671381
India,02-09-2020,3769523,66333,0.017597187
India,03-09-2020,3853406,67376,0.017484791
India,04-09-2020,3936747,68472,0.01739304
India,05-09-2020,4023179,69561,0.017290058
India,06-09-2020,4113811,70626,0.017168023
India,07-09-2020,4204613,71642,0.017038905
India,08-09-2020,4280422,72775,0.017001828
India,09-09-2020,4370128,73890,0.016907972
India,10-09-2020,4465863,75062,0.01680795
India,11-09-2020,4562414,76271,0.016717247
India,12-09-2020,4659984,77472,0.01662495
India,13-09-2020,4754356,78586,0.016529263
India,14-09-2020,4846427,79722,0.016449644
India,15-09-2020,4930236,80776,0.0163838
India,16-09-2020,5020359,82066,0.01634664
India,17-09-2020,5118253,83198,0.016255156
India,18-09-2020,5214677,84372,0.016179717
India,19-09-2020,5308014,85619,0.016130138
India,20-09-2020,5400619,86752,0.016063344
India,21-09-2020,5487580,87882,0.01601471
India,22-09-2020,5562663,88935,0.015987846
India,23-09-2020,5646010,90020,0.015944003
India,24-09-2020,5732518,91149,0.015900343
India,25-09-2020,5818570,92290,0.015861286
India,26-09-2020,5903932,93379,0.015816408
India,27-09-2020,5992532,94503,0.015770129
India,28-09-2020,6074702,95542,0.01572785
India,29-09-2020,6145291,96318,0.015673464
India,30-09-2020,6225763,97497,0.015660249
India,01-10-2020,6312584,98678,0.01563195
India,02-10-2020,6394068,99773,0.015603994
India,03-10-2020,6473544,100842,0.015577557
India,04-10-2020,6549373,101782,0.015540724
India,05-10-2020,6623815,102685,0.015502396
India,06-10-2020,6685082,103569,0.015492555
India,07-10-2020,6757131,104555,0.015473283
India,08-10-2020,6835655,105526,0.015437584
India,09-10-2020,6906151,106490,0.015419588
India,10-10-2020,6979423,107416,0.015390384
India,11-10-2020,7053806,108334,0.015358234
India,12-10-2020,7120538,109150,0.015328898
India,13-10-2020,7175880,109856,0.015309063
India,14-10-2020,7239389,110586,0.015275599
India,15-10-2020,7307097,111266,0.015227114
India,16-10-2020,7370468,112161,0.015217623
India,17-10-2020,7432680,112998,0.015202861
India,18-10-2020,7494551,114031,0.015215188
India,19-10-2020,7550273,114610,0.015179584
India,20-10-2020,7597063,115197,0.01516336
India,21-10-2020,7651107,115914,0.015149965
India,22-10-2020,7706946,116616,0.015131285
